pmid	journal	doi	text_path
31289620	Oncotarget	10.18632/oncotarget.6463	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31289620.txt
31370880	Microbiome	10.1186/s40168-019-0722-6	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31370880.txt
32974807	Dig Dis Sci	10.1007/s10620-020-06612-9	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_32974807.txt
33492618	J Gastrointest Cancer	10.1007/s12029-021-00588-z	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_33492618.txt
33660622	J Chin Med Assoc	10.1097/JCMA.0000000000000510	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_33660622.txt
33758296	Sci Rep	10.1038/s41598-021-86247-6	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_33758296.txt
33824205	mBio	10.1128/mBio.00547-21	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_33824205.txt
33996615	Front Cell Infect Microbiol	10.3389/fcimb.2021.606490	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_33996615.txt
34150751	Front Cell Dev Biol	10.3389/fcell.2021.642948	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34150751.txt
34225483	mBio	10.1128/mBio.01155-21	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34225483.txt
34328665	Mol Oncol	10.1002/1878-0261.13070	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34328665.txt
34440574	Life (Basel)	10.3390/life11080831	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34440574.txt
34516694	Prostate	10.1002/pros.24223	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34516694.txt
34595059	Oncoimmunology	10.1080/2162402X.2021.1976953	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34595059.txt
34638284	Cancers (Basel)	10.3390/cancers13194799	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34638284.txt
34745023	Front Microbiol	10.3389/fmicb.2021.705583	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34745023.txt
34821068	Cancer Med	10.1002/cam4.4384	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34821068.txt
34937766	Gut	10.1136/gutjnl-2020-323951	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34937766.txt
34956908	Front Oncol	10.3389/fonc.2021.796774	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_34956908.txt
35004303	Front Oncol	10.3389/fonc.2021.781697	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_35004303.txt
35096207	Dis Markers	10.1155/2022/7994074	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_35096207.txt
35211486	Front Med (Lausanne)	10.3389/fmed.2021.800566	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_35211486.txt
35638103	Gut Microbes	10.1080/19490976.2022.2078620	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_35638103.txt
36369736	Gut Microbes	10.1080/19490976.2022.2139979	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_36369736.txt
36656381	J Cancer Res Clin Oncol	10.1007/s00432-022-04553-6	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_36656381.txt
36864380	BMC Microbiol	10.1186/s12866-023-02791-3	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_36864380.txt
36989208	PLoS Negl Trop Dis	10.1371/journal.pntd.0011170	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_36989208.txt
37051296	Front Cell Infect Microbiol	10.3389/fcimb.2023.1099063	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37051296.txt
37131219	Genome Med	10.1186/s13073-023-01180-9	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37131219.txt
37190160	Cancers (Basel)	10.3390/cancers15082231	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37190160.txt
37283932	Front Microbiol	10.3389/fmicb.2023.1130446	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37283932.txt
37325051	J Cancer	10.7150/jca.83395	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37325051.txt
37380012	Anaerobe	10.1016/j.anaerobe.2023.102757	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37380012.txt
37490156	Amino Acids	10.1007/s00726-023-03308-y	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37490156.txt
37548332	Cancer Med	10.1002/cam4.6414	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37548332.txt
37593761	Front Cell Infect Microbiol	10.3389/fcimb.2023.1216024	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37593761.txt
37614602	Front Microbiol	10.3389/fmicb.2023.1236583	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37614602.txt
37655344	Front Microbiol	10.3389/fmicb.2023.1182346	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37655344.txt
37766594	Cancer Med	10.1002/cam4.6534	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37766594.txt
37813000	Neoplasia	10.1016/j.neo.2023.100939	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37813000.txt
37892474	Nutrients	10.3390/nu15204399	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37892474.txt
37951129	ESMO Open	10.1016/j.esmoop.2023.102051	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_37951129.txt
38022530	Front Immunol	10.3389/fimmu.2023.1230306	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_38022530.txt
38067377	Cancers (Basel)	10.3390/cancers15235674	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_38067377.txt
38111646	Front Microbiol	10.3389/fmicb.2023.1288487	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_38111646.txt
38357363	Front Pharmacol	10.3389/fphar.2023.1320028	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_38357363.txt
