Supplementary Table 2: ANCOM Oral Microbiota
ID FDR_CRCvsHC FDR_POLvsHC taxonomy.Kingdom taxonomy.Phylum
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU00378 Bifidobacterium
Clostridia Clostridiales Peptostreptococcaceae OTU00379 Filifactor
Clostridia Clostridiales unclassified OTU00382 unclassified.Clostridiales
Bacteroidia Bacteroidales Porphyromonadaceae OTU00383 Tannerella
Clostridia Clostridiales Ruminococcaceae OTU00385 Clostridium_IV
Clostridia Clostridiales Eubacteriaceae OTU00386 Eubacterium
Bacilli Lactobacillales Streptococcaceae OTU00388 Streptococcus
Bacteroidia Bacteroidales Prevotellaceae OTU00391 Prevotella
unclassified unclassified unclassified OTU00393 unclassified.Candidatus_Saccharibacteria
Negativicutes Selenomonadales Veillonellaceae OTU00398 Selenomonas
Bacteroidia Bacteroidales Prevotellaceae OTU00412 Prevotella
Bacteroidia Bacteroidales Bacteroidaceae OTU00413 Bacteroides
Clostridia Clostridiales Lachnospiraceae OTU00416 Clostridium_XlVa
Negativicutes Selenomonadales Veillonellaceae OTU00419 Megasphaera
Bacteroidia Bacteroidales Prevotellaceae OTU00421 Prevotella
Clostridia Clostridiales Ruminococcaceae OTU00430 Butyricicoccus
Bacilli Bacillales StaphylococcaceaeOTU00433 Staphylococcus
Bacteroidia Bacteroidales Prevotellaceae OTU00434 Prevotella
Bacilli Lactobacillales Aerococcaceae OTU00442 Abiotrophia
Gammaproteobacteria PseudomonadalesMoraxellaceae OTU00443 Moraxella
Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII OTU00444 Mogibacterium
Spirochaetia Spirochaetales Spirochaetaceae OTU00445 Treponema
unclassified unclassified unclassified OTU00448 unclassified.Lentisphaerae
unclassified unclassified unclassified OTU00449 unclassified.Candidatus_Saccharibacteria
Clostridia Clostridiales Lachnospiraceae OTU00452 Blautia
Clostridia Clostridiales unclassified OTU00454 unclassified.Clostridiales
Clostridia Clostridiales unclassified OTU00457 unclassified.Clostridiales
Negativicutes Selenomonadales Veillonellaceae OTU00458 Selenomonas
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00461 Capnocytophaga
Erysipelotrichia Erysipelotrichales Erysipelotrichaceae OTU00464 unclassified.Erysipelotrichaceae
Clostridia Clostridiales Ruminococcaceae OTU00466 unclassified.Ruminococcaceae
Bacteroidia Bacteroidales Porphyromonadaceae OTU00469 Butyricimonas
unclassified unclassified unclassified OTU00470 unclassified.Bacteroidetes
Bacteroidia Bacteroidales Prevotellaceae OTU00471 ParaprevotellaClostridia Clostridiales Clostridiaceae_1 OTU00472 Clostridium_sensu_stricto
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00475 unclassified.Flavobacteriaceae
Mollicutes Mycoplasmatales Mycoplasmataceae OTU00476 Mycoplasma
Bacteroidia Bacteroidales Prevotellaceae OTU00477 Prevotella
Clostridia Clostridiales Lachnospiraceae OTU00479 Blautia
Bacteroidia Bacteroidales Prevotellaceae OTU00482 Hallella
Bacteroidia Bacteroidales Rikenellaceae OTU00486 Alistipes
Bacteroidia Bacteroidales Prevotellaceae OTU00490 Prevotella
Spirochaetia Spirochaetales Spirochaetaceae OTU00492 Treponema
Deltaproteobacteria DesulfovibrionalesDesulfovibrionaceae OTU00495 Desulfovibrio
Sphingobacteriia SphingobacterialesChitinophagaceae OTU00496 Hydrotalea
Clostridia Clostridiales Ruminococcaceae OTU00500 Gemmiger
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00508 Leptotrichia
Negativicutes Selenomonadales Veillonellaceae OTU00510 Anaeroglobus
Gammaproteobacteria Cardiobacteriales Cardiobacteriaceae OTU00511 Cardiobacterium
Bacteroidia Bacteroidales Prevotellaceae OTU00514 Prevotella
Clostridia Clostridiales Ruminococcaceae OTU00515 Oscillibacter
unclassified unclassified unclassified OTU00516 unclassified.Candidatus_Saccharibacteria
Bacteroidia Bacteroidales Prevotellaceae OTU00518 Prevotella
Negativicutes Selenomonadales Veillonellaceae OTU00519 Schwartzia
Bacteroidia Bacteroidales Prevotellaceae OTU00524 Prevotella
Gammaproteobacteria PseudomonadalesMoraxellaceae OTU00525 Enhydrobacter
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00531 Capnocytophaga
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU00532 Alloscardovia
Negativicutes Selenomonadales Veillonellaceae OTU00533 Dialister
Bacilli Lactobacillales Lactobacillaceae OTU00537 Lactobacillus
Bacteroidia Bacteroidales Bacteroidaceae OTU00540 Bacteroides
Clostridia Clostridiales Peptococcaceae_1OTU00542 Peptococcus
Clostridia Clostridiales Lachnospiraceae OTU00544 Dorea
Bacteroidia Bacteroidales Prevotellaceae OTU00546 Prevotella
Actinobacteria Coriobacteriales CoriobacteriaceaeOTU00547 Olsenella
Clostridia Clostridiales Lachnospiraceae OTU00552 Lachnoanaerobaculum
Bacteroidia Bacteroidales Prevotellaceae OTU00555 Prevotella
Actinobacteria Actinomycetales Propionibacteriaceae OTU00556 unclassified.Propionibacteriaceae
Synergistia Synergistales Synergistaceae OTU00557 unclassified.Synergistaceae
Bacteroidia Bacteroidales Prevotellaceae OTU00564 Prevotella
Clostridia Clostridiales Peptococcaceae_1OTU00570 Peptococcus
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00571 unclassified.Flavobacteriaceae
unclassified unclassified unclassified OTU00572 unclassified.Bacteroidetes
Negativicutes Selenomonadales Veillonellaceae OTU00575 Schwartzia
Actinobacteria Actinomycetales Corynebacteriaceae OTU00586 Corynebacterium
Clostridia Clostridiales Lachnospiraceae OTU00587 Catonella
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00592 Leptotrichia
Bacteroidia Bacteroidales Prevotellaceae OTU00593 Alloprevotella
Spirochaetia Spirochaetales Spirochaetaceae OTU00595 Treponema
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00599 Capnocytophaga
unclassified unclassified unclassified OTU00600 unclassified.Candidatus_Saccharibacteria
Bacteroidia Bacteroidales Prevotellaceae OTU00608 Prevotella
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00612 Leptotrichia
Spirochaetia Spirochaetales Spirochaetaceae OTU00618 TreponemaClostridia Clostridiales Lachnospiraceae OTU00619 Howardella
Actinobacteria Actinomycetales ActinomycetaceaeOTU00620 Mobiluncus
Chloroplast Chloroplast Streptophyta OTU00621 unclassified.Streptophyta
Bacteroidia Bacteroidales Prevotellaceae OTU00622 Hallella
Bacilli Lactobacillales Lactobacillaceae OTU00626 Lactobacillus
Anaerolineae Anaerolineales Anaerolineaceae OTU00640 Longilinea
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00651 Soonwooa
Epsilonproteobacteria CampylobacteralesCampylobacteraceae OTU00652 Campylobacter
Clostridia Clostridiales Lachnospiraceae OTU00661 Clostridium_XlVa
Gammaproteobacteria PseudomonadalesPseudomonadaceae OTU00667 Pseudomonas
Spirochaetia Spirochaetales Spirochaetaceae OTU00668 Treponema
Actinobacteria Actinomycetales Propionibacteriaceae OTU00670 Propionibacterium
Clostridia Clostridiales Eubacteriaceae OTU00671 Eubacterium
Actinobacteria Actinomycetales unclassified OTU00676 unclassified.Actinomycetales
Erysipelotrichia Erysipelotrichales Erysipelotrichaceae OTU00683 Bulleidia
Actinobacteria Actinomycetales Corynebacteriaceae OTU00686 Corynebacterium
Clostridia Clostridiales Lachnospiraceae OTU00688 Clostridium_XlVa
Negativicutes Selenomonadales Veillonellaceae OTU00691 Allisonella
Bacteroidia Bacteroidales Bacteroidales_incertae_sedis OTU00696 Phocaeicola
Clostridia Clostridiales Eubacteriaceae OTU00700 Eubacterium
Actinobacteria Actinomycetales ActinomycetaceaeOTU00703 Actinomyces
Clostridia Clostridiales Peptostreptococcaceae OTU00706 unclassified.Peptostreptococcaceae
Bacteroidia Bacteroidales unclassified OTU00713 unclassified.Bacteroidales
Betaproteobacteria Neisseriales Neisseriaceae OTU00719 unclassified.Neisseriaceae
Clostridia Clostridiales Lachnospiraceae OTU00720 Pseudobutyrivibrio
Bacteroidia Bacteroidales Porphyromonadaceae OTU00721 Porphyromonas
Clostridia Clostridiales Lachnospiraceae OTU00722 Butyrivibrio
Clostridia Clostridiales unclassified OTU00727 unclassified.Clostridiales
Clostridia Clostridiales Ruminococcaceae OTU00730 Clostridium_IV
unclassified unclassified unclassified OTU00732 unclassified.Firmicutes
Clostridia Clostridiales Peptostreptococcaceae OTU00733 Acetoanaerobium
Bacteroidia Bacteroidales Porphyromonadaceae OTU00738 unclassified.Porphyromonadaceae
Mollicutes Mycoplasmatales Mycoplasmataceae OTU00742 Mycoplasma
Bacteroidia Bacteroidales Bacteroidaceae OTU00743 Bacteroides
Clostridia Clostridiales unclassified OTU00747 unclassified.Clostridiales
Clostridia Clostridiales unclassified OTU00748 unclassified.Clostridiales
Bacteroidia Bacteroidales Prevotellaceae OTU00750 Prevotella
Clostridia Clostridiales Ruminococcaceae OTU00752 Anaerofilum
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU00753 Parascardovia
Negativicutes Selenomonadales Veillonellaceae OTU00757 Selenomonas
Negativicutes Selenomonadales Veillonellaceae OTU00758 Dialister
Bacteroidia Bacteroidales Prevotellaceae OTU00759 Prevotella
Clostridia Clostridiales unclassified OTU00763 unclassified.Clostridiales
Clostridia Clostridiales Lachnospiraceae OTU00764 Johnsonella
Actinobacteria Actinomycetales ActinomycetaceaeOTU00770 Actinomyces
Bacilli Lactobacillales Streptococcaceae OTU00778 Streptococcus
Actinobacteria Actinomycetales Propionibacteriaceae OTU00785 unclassified.Propionibacteriaceae
Clostridia Clostridiales Lachnospiraceae OTU00791 Clostridium_XlVa
Fusobacteriia Fusobacteriales Fusobacteriaceae OTU00794 Fusobacterium
Alphaproteobacteria Rhizobiales BradyrhizobiaceaeOTU00815 BradyrhizobiumActinobacteria Actinomycetales Micrococcaceae OTU00816 Micrococcus
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU00821 Bifidobacterium
Actinobacteria Actinomycetales ActinomycetaceaeOTU00822 Actinobaculum
Actinobacteria Actinomycetales Propionibacteriaceae OTU00825 Propionibacterium
Negativicutes Selenomonadales Veillonellaceae OTU00827 Anaeroglobus
Bacteroidia Bacteroidales Prevotellaceae OTU00831 Prevotella
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00832 Capnocytophaga
Lentisphaeria Victivallales Victivallaceae OTU00850 Victivallis
Betaproteobacteria Burkholderiales Oxalobacteraceae OTU00851 Oxalobacter
Clostridia Clostridiales Ruminococcaceae OTU00873 unclassified.Ruminococcaceae
Bacilli Lactobacillales LeuconostocaceaeOTU00875 Leuconostoc
Actinobacteria Coriobacteriales CoriobacteriaceaeOTU00876 Cryptobacterium
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00886 Streptobacillus
Bacteroidia Bacteroidales Prevotellaceae OTU00889 Alloprevotella
Clostridia Clostridiales Eubacteriaceae OTU00899 Pseudoramibacter
Bacteroidia Bacteroidales unclassified OTU00901 unclassified.Bacteroidales
Spirochaetia Spirochaetales Spirochaetaceae OTU00907 Treponema
Clostridia Clostridiales unclassified OTU00908 unclassified.Clostridiales
Clostridia Clostridiales unclassified OTU00912 unclassified.Clostridiales
Bacteroidia Bacteroidales Prevotellaceae OTU00922 Prevotella
Betaproteobacteria Burkholderiales ComamonadaceaeOTU00925 Brachymonas
Clostridia Clostridiales Lachnospiraceae OTU00930 unclassified.Lachnospiraceae
Actinobacteria Coriobacteriales CoriobacteriaceaeOTU00931 Slackia
Clostridia Clostridiales Lachnospiraceae OTU00934 Johnsonella
Actinobacteria Actinomycetales Corynebacteriaceae OTU00937 Corynebacterium
Bacteroidia Bacteroidales Prevotellaceae OTU00938 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU00940 Prevotella
Actinobacteria Actinomycetales Micrococcaceae OTU00944 Rothia
Actinobacteria Actinomycetales Micrococcaceae OTU00948 Kocuria
Clostridia Clostridiales Lachnospiraceae OTU00958 unclassified.Lachnospiraceae
Clostridia Clostridiales Lachnospiraceae OTU00964 Shuttleworthia
Bacteroidia Bacteroidales unclassified OTU00970 unclassified.Bacteroidales
Bacteroidia Bacteroidales Porphyromonadaceae OTU00971 unclassified.Porphyromonadaceae
Spirochaetia Spirochaetales Spirochaetaceae OTU00975 Treponema
Actinobacteria Actinomycetales ActinomycetaceaeOTU00976 Actinomyces
Bacteroidia Bacteroidales Bacteroidaceae OTU00984 Bacteroides
Bacteroidia Bacteroidales Prevotellaceae OTU01012 Alloprevotella
Clostridia Clostridiales Lachnospiraceae OTU01014 unclassified.Lachnospiraceae
Clostridia Clostridiales Peptostreptococcaceae OTU01015 unclassified.Peptostreptococcaceae
Clostridia Clostridiales Lachnospiraceae OTU01026 unclassified.Lachnospiraceae
Clostridia Clostridiales Lachnospiraceae OTU01027 Syntrophococcus
Bacteroidia Bacteroidales Prevotellaceae OTU01031 Prevotella
Spirochaetia Spirochaetales Spirochaetaceae OTU01034 Treponema
Erysipelotrichia Erysipelotrichales Erysipelotrichaceae OTU01044 Eggerthia
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU01052 Aggregatibacter
Betaproteobacteria Rhodocyclales Rhodocyclaceae OTU01093 Propionivibrio
Gammaproteobacteria Enterobacteriales Enterobacteriaceae OTU01095 unclassified.Enterobacteriaceae
Clostridia Clostridiales Lachnospiraceae OTU01102 Lachnoanaerobaculum
Actinobacteria Actinomycetales Corynebacteriaceae OTU01103 Corynebacterium
Clostridia Clostridiales Lachnospiraceae OTU01108 OribacteriumSpirochaetia Spirochaetales Spirochaetaceae OTU01109 Treponema
Clostridia Clostridiales Lachnospiraceae OTU01130 Clostridium_XlVa
Spirochaetia Spirochaetales Spirochaetaceae OTU01138 Treponema
Bacteroidia Bacteroidales Prevotellaceae OTU01148 Prevotella
Clostridia Clostridiales Lachnospiraceae OTU01172 Ruminococcus2
Bacteroidia Bacteroidales Prevotellaceae OTU01173 Prevotella
Spirochaetia Spirochaetales Spirochaetaceae OTU01178 Treponema
unclassified unclassified unclassified OTU01193 unclassified.Candidatus_Saccharibacteria
Betaproteobacteria Neisseriales Neisseriaceae OTU01205 Kingella
Deltaproteobacteria Desulfobacterales Desulfobulbaceae OTU01212 Desulfobulbus
Bacilli Lactobacillales Streptococcaceae OTU01223 Streptococcus
Clostridia Clostridiales Ruminococcaceae OTU01225 Oscillibacter
Bacteroidia Bacteroidales Prevotellaceae OTU01241 Prevotella
Chloroplast Chloroplast Streptophyta OTU01250 unclassified.Streptophyta
Negativicutes Selenomonadales Veillonellaceae OTU01253 Selenomonas
Bacilli Lactobacillales CarnobacteriaceaeOTU01254 Dolosigranulum
Bacteroidia Bacteroidales Prevotellaceae OTU01260 Prevotella
Clostridia Clostridiales Lachnospiraceae OTU01265 Clostridium_XlVa
Fusobacteriia Fusobacteriales Fusobacteriaceae OTU01271 Fusobacterium
Negativicutes Selenomonadales Veillonellaceae OTU01279 Selenomonas
Clostridia Clostridiales Lachnospiraceae OTU01300 unclassified.Lachnospiraceae
Actinobacteria Actinomycetales ActinomycetaceaeOTU01306 Actinomyces
Bacteroidia Bacteroidales Prevotellaceae OTU01317 Prevotella
Betaproteobacteria Neisseriales Neisseriaceae OTU01319 Simonsiella
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU01324 Leptotrichia
Bacteroidia Bacteroidales Prevotellaceae OTU01325 Prevotella
Negativicutes Selenomonadales Veillonellaceae OTU01326 Selenomonas
unclassified unclassified unclassified OTU01327 unclassified.Bacteroidetes
Clostridia Clostridiales Lachnospiraceae OTU01332 Clostridium_XlVa
Bacteroidia Bacteroidales unclassified OTU01344 unclassified.Bacteroidales
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU01362 Scardovia
Clostridia Clostridiales Lachnospiraceae OTU01365 Blautia
Clostridia Clostridiales Lachnospiraceae OTU01366 Clostridium_XlVa
Fusobacteriia Fusobacteriales Fusobacteriaceae OTU01372 Fusobacterium
Clostridia Clostridiales Lachnospiraceae OTU01377 Clostridium_XlVa
Bacteroidia Bacteroidales Prevotellaceae OTU01381 unclassified.Prevotellaceae
unclassified unclassified unclassified OTU01386 unclassified.Candidatus_Saccharibacteria
Gammaproteobacteria unclassified unclassified OTU01389 unclassified.Gammaproteobacteria
Bacteroidia Bacteroidales Prevotellaceae OTU01407 Prevotella
Bacilli Bacillales unclassified OTU01425 unclassified.Bacillales
Spirochaetia Spirochaetales Spirochaetaceae OTU01443 Treponema
Deltaproteobacteria DesulfovibrionalesDesulfovibrionaceae OTU01445 Desulfovibrio
Betaproteobacteria Neisseriales Neisseriaceae OTU01455 Simonsiella
unclassified unclassified unclassified OTU01458 unclassified.Proteobacteria
Verrucomicrobiae Verrucomicrobiales Verrucomicrobiaceae OTU01466 Akkermansia
Clostridia Clostridiales Lachnospiraceae OTU01468 Clostridium_XlVa
Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI OTU01474 Anaerococcus
Bacilli Lactobacillales Lactobacillaceae OTU01476 Lactobacillus
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU01484 Haemophilus
Negativicutes Selenomonadales Veillonellaceae OTU01496 SelenomonasClostridia Clostridiales Clostridiales_Incertae_Sedis_XI OTU01517 Anaerococcus
unclassified unclassified unclassified OTU01528 unclassified.Candidatus_Saccharibacteria
Bacteroidia Bacteroidales Prevotellaceae OTU01549 Prevotella
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU01555 Haemophilus
Bacilli Lactobacillales Lactobacillaceae OTU01557 Lactobacillus
Actinobacteria Actinomycetales ActinomycetaceaeOTU01559 Actinomyces
Betaproteobacteria Burkholderiales ComamonadaceaeOTU01587 Brachymonas
Betaproteobacteria Neisseriales Neisseriaceae OTU01588 Neisseria
Mollicutes AcholeplasmatalesAcholeplasmataceae OTU01589 Acholeplasma
Bacteroidia Bacteroidales Prevotellaceae OTU01601 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU01605 Prevotella
Bacilli Lactobacillales Streptococcaceae OTU01606 Streptococcus
Actinobacteria Actinomycetales ActinomycetaceaeOTU01608 Actinomyces
Gammaproteobacteria PseudomonadalesMoraxellaceae OTU01647 Moraxella
Erysipelotrichia Erysipelotrichales Erysipelotrichaceae OTU01648 Bulleidia
Bacteroidia Bacteroidales Bacteroidaceae OTU01663 Bacteroides
Alphaproteobacteria unclassified unclassified OTU01683 unclassified.Alphaproteobacteria
Clostridia Clostridiales Lachnospiraceae OTU01689 unclassified.Lachnospiraceae
Bacteroidia Bacteroidales Prevotellaceae OTU01706 Prevotella
Bacilli Lactobacillales Streptococcaceae OTU01722 Streptococcus
Clostridia Clostridiales Ruminococcaceae OTU01727 Ruminococcus
Spirochaetia Spirochaetales Spirochaetaceae OTU01734 Treponema
Alphaproteobacteria Rhizobiales Methylobacteriaceae OTU01747 Methylobacterium
Clostridia Clostridiales Lachnospiraceae OTU01754 Dorea
Bacilli Lactobacillales Lactobacillaceae OTU01756 Lactobacillus
Actinobacteria Actinomycetales ActinomycetaceaeOTU01763 Actinomyces
Clostridia Clostridiales Lachnospiraceae OTU01784 Clostridium_XlVa
Clostridia Clostridiales Lachnospiraceae OTU01820 Roseburia
Bacteroidia Bacteroidales Prevotellaceae OTU01832 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU01878 Prevotella
Alphaproteobacteria Rhodospirillales Acetobacteraceae OTU01880 Acidocella
Clostridia Clostridiales Ruminococcaceae OTU01897 unclassified.Ruminococcaceae
Gammaproteobacteria Enterobacteriales Enterobacteriaceae OTU01905 Serratia
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU01911 Aeriscardovia
Clostridia Clostridiales Lachnospiraceae OTU01920 Lachnoanaerobaculum
Bacteroidia Bacteroidales Prevotellaceae OTU01937 Prevotella
Bacilli Lactobacillales Streptococcaceae OTU01943 Streptococcus
Actinobacteria Actinomycetales Corynebacteriaceae OTU01968 Turicella
Clostridia Clostridiales Lachnospiraceae OTU01977 unclassified.Lachnospiraceae
Bacteroidia Bacteroidales unclassified OTU01978 unclassified.Bacteroidales
Spirochaetia Spirochaetales Spirochaetaceae OTU01983 Treponema
Bacilli Bacillales Bacillaceae_1 OTU01986 Bacillus
Actinobacteria Actinomycetales DermabacteraceaeOTU01999 Brachybacterium
Gammaproteobacteria Enterobacteriales Enterobacteriaceae OTU02001 Escherichia/Shigella
Gammaproteobacteria Xanthomonadales Xanthomonadaceae OTU02037 Xanthomonas
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU02048 Capnocytophaga
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU02049 Chryseobacterium
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU02070 Haemophilus
Clostridia Clostridiales Lachnospiraceae OTU02086 Clostridium_XlVa
Bacteroidia Bacteroidales Prevotellaceae OTU02114 PrevotellaSpirochaetia Spirochaetales Spirochaetaceae OTU02136 Treponema
Actinobacteria Actinomycetales Corynebacteriaceae OTU02145 Corynebacterium
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU02147 Capnocytophaga
Bacilli Lactobacillales Streptococcaceae OTU02178 Streptococcus
Clostridia Clostridiales Lachnospiraceae OTU02179 Blautia
Negativicutes Selenomonadales Veillonellaceae OTU02183 Selenomonas
Clostridia Clostridiales Lachnospiraceae OTU02190 Roseburia
Clostridia Clostridiales Lachnospiraceae OTU02204 Clostridium_XlVa
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU02226 Capnocytophaga
Bacteroidia Bacteroidales Porphyromonadaceae OTU02232 Porphyromonas
Negativicutes Selenomonadales Veillonellaceae OTU02234 Veillonella
Bacteroidia Bacteroidales Rikenellaceae OTU02276 Alistipes
Bacteroidia Bacteroidales Prevotellaceae OTU02297 Prevotella
Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI OTU02299 Parvimonas
Spirochaetia Spirochaetales Spirochaetaceae OTU02302 Treponema
Actinobacteria Actinomycetales ActinomycetaceaeOTU02304 Actinomyces
Clostridia Clostridiales Ruminococcaceae OTU02322 unclassified.Ruminococcaceae
Clostridia Clostridiales Lachnospiraceae OTU02326 Blautia
Epsilonproteobacteria CampylobacteralesHelicobacteraceaeOTU02329 Wolinella
Betaproteobacteria Neisseriales Neisseriaceae OTU02345 Neisseria
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU02361 Capnocytophaga
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU02370 Capnocytophaga
Bacteroidia Bacteroidales Bacteroidaceae OTU02371 Bacteroides
unclassified unclassified unclassified OTU02388 unclassified.Candidatus_Saccharibacteria
Bacteroidia Bacteroidales Porphyromonadaceae OTU02491 Porphyromonas
unclassified unclassified unclassified OTU02502 unclassified.Candidatus_Saccharibacteria
Bacilli Lactobacillales Streptococcaceae OTU02525 Streptococcus
Actinobacteria Actinomycetales unclassified OTU02529 unclassified.Actinomycetales
Clostridia Clostridiales Lachnospiraceae OTU02538 Anaerostipes
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU02566 Capnocytophaga
Bacteroidia Bacteroidales Bacteroidaceae OTU02581 Bacteroides
Clostridia Clostridiales Peptostreptococcaceae OTU02586 Clostridium_XI
Bacteroidia Bacteroidales Prevotellaceae OTU02615 Prevotella
Bacteroidia Bacteroidales Porphyromonadaceae OTU02630 unclassified.Porphyromonadaceae
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU02640 Bifidobacterium
Actinobacteria Actinomycetales ActinomycetaceaeOTU02666 Actinomyces
Bacteroidia Bacteroidales Prevotellaceae OTU02711 Prevotella
Clostridia Clostridiales unclassified OTU02766 unclassified.Clostridiales
Bacteroidia Bacteroidales Prevotellaceae OTU02787 Prevotella
Clostridia Clostridiales Lachnospiraceae OTU02791 unclassified.Lachnospiraceae
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU02936 Capnocytophaga
Actinobacteria Actinomycetales Corynebacteriaceae OTU02975 Corynebacterium
Bacteroidia Bacteroidales Porphyromonadaceae OTU02979 Tannerella
Actinobacteria Actinomycetales unclassified OTU03015 unclassified.Actinomycetales
Bacteroidia Bacteroidales Porphyromonadaceae OTU03043 Porphyromonas
unclassified unclassified unclassified OTU03063 unclassified.Bacteroidetes
Bacteroidia Bacteroidales Prevotellaceae OTU03076 Prevotella
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU03100 Haemophilus
Betaproteobacteria Neisseriales Neisseriaceae OTU03107 Kingella
Bacilli Lactobacillales unclassified OTU03139 unclassified.LactobacillalesClostridia Clostridiales Ruminococcaceae OTU03149 unclassified.Ruminococcaceae
Clostridia Clostridiales Lachnospiraceae OTU03156 unclassified.Lachnospiraceae
Bacteroidia Bacteroidales Prevotellaceae OTU03162 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU03179 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU03195 Prevotella
Clostridia Clostridiales Lachnospiraceae OTU03215 Oribacterium
Bacteroidia Bacteroidales Porphyromonadaceae OTU03249 Porphyromonas
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU03251 Capnocytophaga
Clostridia Clostridiales unclassified OTU03287 unclassified.Clostridiales
Bacteroidia Bacteroidales Porphyromonadaceae OTU03294 Tannerella
Gammaproteobacteria PseudomonadalesMoraxellaceae OTU03322 Acinetobacter
Bacteroidia Bacteroidales Prevotellaceae OTU03326 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU03341 Alloprevotella
Betaproteobacteria Neisseriales Neisseriaceae OTU03344 Neisseria
Bacteroidia Bacteroidales Porphyromonadaceae OTU03355 Tannerella
Bacteroidia Bacteroidales Prevotellaceae OTU03368 Prevotella
Actinobacteria Actinomycetales Micrococcaceae OTU03383 Rothia
Bacilli Bacillales Bacillales_Incertae_Sedis_XI OTU03395 Gemella
Clostridia Clostridiales Lachnospiraceae OTU03399 Lachnoanaerobaculum
Clostridia Clostridiales Lachnospiraceae OTU03419 Blautia
unclassified unclassified unclassified OTU03431 unclassified.Bacteroidetes
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU03432 Aggregatibacter
Bacilli Lactobacillales Lactobacillaceae OTU03435 Lactobacillus
Bacilli Lactobacillales unclassified OTU03448 unclassified.Lactobacillales
Spirochaetia Spirochaetales Spirochaetaceae OTU03459 Treponema
Clostridia Clostridiales Lachnospiraceae OTU03463 Clostridium_XlVa
Betaproteobacteria Neisseriales Neisseriaceae OTU03475 Neisseria
Bacteroidia Bacteroidales Prevotellaceae OTU03569 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU03572 Prevotella
Actinobacteria Actinomycetales Micrococcaceae OTU03586 Kocuria
Betaproteobacteria Burkholderiales Sutterellaceae OTU03589 Sutterella
Bacilli Lactobacillales Lactobacillaceae OTU03645 Lactobacillus
Gammaproteobacteria PseudomonadalesMoraxellaceae OTU03661 Psychrobacter
Bacteroidia Bacteroidales Prevotellaceae OTU03662 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU03751 Hallella
Bacteroidia Bacteroidales Prevotellaceae OTU03809 Prevotella
Bacteroidia Bacteroidales Porphyromonadaceae OTU03813 Parabacteroides
Spirochaetia Spirochaetales Spirochaetaceae OTU03848 Treponema
Bacteroidia Bacteroidales Porphyromonadaceae OTU03898 Tannerella
Spirochaetia Spirochaetales Spirochaetaceae OTU03905 Treponema
Actinobacteria Coriobacteriales CoriobacteriaceaeOTU03994 Atopobium
Clostridia Clostridiales Lachnospiraceae OTU04003 unclassified.Lachnospiraceae
Bacteroidia Bacteroidales Prevotellaceae OTU04133 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU04166 Prevotella
Bacteroidia Bacteroidales unclassified OTU04291 unclassified.Bacteroidales
Bacteroidia Bacteroidales Prevotellaceae OTU04294 Prevotella
