verdict	confidence	pmid	disease	substrate	technology	platform	species	design	mixed_content	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	reasoning_path
IN-SCOPE	HIGH	34283063	colorectal cancer	stool (also saliva)	16S	Illumina MiSeq v2 500-cycle	human	cross-sectional-case-control	Japanese Kagoshima cohort; 52 CRC (treatment-naive) vs 51 HC; V1-V2 16S on stool + saliva	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34283063.md
IN-SCOPE	HIGH	34307189	CRC-adenoma-healthy	stool	shotgun-WGS	Illumina HiSeq	human	cross-sectional-case-control	71 CRC + 63 adenoma + 91 healthy stool WGS on Illumina HiSeq	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34307189.md
IN-SCOPE	HIGH	34307461	adenoma+CRC vs hemorrhoid	stool	16S + shallow-WGS	Illumina	human	cross-sectional-case-control	fecal 16S+SMS across adenoma/CRC/hemorrhoid patients	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34307461.md
IN-SCOPE	HIGH	34442626	CRC+polyps	stool	16S	not stated (Illumina implied)	human	cross-sectional-case-control		PASS	PASS	PASS	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34442626.md
IN-SCOPE	HIGH	34447694	CRC	stool	16S	Illumina MiSeq	human	cross-sectional-case-control		PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34447694.md
IN-SCOPE	HIGH	34584098	CRC-vs-healthy-early-and-advanced	stool	16S	Illumina	human	cross-sectional-case-control	Discovery 384 HI + 380 CRC + validation 129 HI + 289 CRC faecal 16S on Illumina; early vs advanced CRC strata	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34584098.md
IN-SCOPE	HIGH	34595105	CRC	stool	16S	not stated	human	cross-sectional-case-control	stool bulk microbiome + stool-derived EVs	PASS	PASS	PASS	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34595105.md
IN-SCOPE	HIGH	34799562	sporadic-CRC-young-onset-vs-old-onset	stool	16S+shotgun-WGS(subset)	Illumina-MiSeq-PE300	human	cross-sectional-case-control	Fudan+Huadong-2-cohorts;n=1038;4-groups-yCRC+oCRC+yControl+oControl	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34799562.md
IN-SCOPE	MEDIUM	35087227	CRC	stool	shotgun-WGS	Illumina NovaSeq 6000	human	cross-sectional-case-control	China-SH primary cohort + 7 public CRC cohorts (meta-integration)	PARTIAL	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35087227.md
IN-SCOPE	HIGH	35188868	adenoma-vs-matched-control	stool	16S	Illumina MiSeq	human	longitudinal-case-control	Dutch 19 adenoma (advanced + non-advanced) vs 19 matched controls; longitudinal but with cross-sectional baseline analysis; MiSeq 2x250	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35188868.md
IN-SCOPE	HIGH	35189961	CRC+adenoma	stool	shotgun-WGS	Illumina HiSeq 2000	human	cross-sectional-case-control	Coker Microbiome — 386 subjects NC/CRA/CRC	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35189961.md
IN-SCOPE	HIGH	35281451	CRC-adenoma-healthy-mycobiota	stool	shotgun-WGS	Illumina	human	cross-sectional-case-control	Same Shanghai Tenth cohort as PMID 34307189 with mycobiota focus; likely sample overlap	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35281451.md
IN-SCOPE	HIGH	35953094	CRC-EO-LO	stool	shotgun-WGS	Illumina NovaSeq 6000	human	cross-sectional-case-control	early-and-late-onset-strata-plus-validation	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35953094.md
IN-SCOPE	HIGH	36369736	CRC+adenoma	stool	16S	Illumina-MiSeq	human	cross-sectional-case-control		PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36369736.md
IN-SCOPE	HIGH	36847529	CRC-vs-non-CRC	stool	16S-plus-metatranscriptome	Illumina NovaSeq 6000 + NextSeq	human	cross-sectional-case-control	Small pilot n=10 CRC + n=10 control 16S + metatranscriptome; NovaSeq/NextSeq	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36847529.md
IN-SCOPE	HIGH	36959686	colorectal cancer (with/without T2DM)	stool	shotgun-WGS	Illumina HiSeq 2000	human	cross-sectional-case-control	Beijing 3-arm cohort: 12 CRC+T2DM + 12 CRC + 12 HC; treatment-naive; SCFA + BA metabolomics also	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36959686.md
IN-SCOPE	HIGH	37082183	colorectal adenoma (tubular)	stool	shotgun-WGS	Illumina NovaSeq PE150	human	cross-sectional-case-control	Guangzhou high-risk screening cohort; 31 adenomas (all tubular) vs 71 colonoscopy-negative controls	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37082183.md
IN-SCOPE	HIGH	37182146	CRC+HRA vs healthy	stool (archived)	16S + shotgun-WGS	Illumina MiSeq + NovaSeq	human	nested-case-control	NORCCAP 144 archived fecal samples	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37182146.md
IN-SCOPE	HIGH	37260140	CRC	stool	16S + shotgun	Illumina MiSeq	human	cross-sectional-case-control	50 CRC + 52 healthy fecal 16S + shotgun	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37260140.md
IN-SCOPE	HIGH	37310549	Lynch syndrome (LS-CRC / LS-adenoma / LS-without-CRN) vs non-LS controls	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	Michigan cohort; 46 LS + 53 non-LS controls; V4 16S; LS strata by prior CRN status	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37310549.md
IN-SCOPE	HIGH	37512526	high-risk-adenoma-vs-no-adenoma	stool	16S	Illumina MiSeq 2x300	human	cross-sectional-case-control	117 Cypriot NA vs HRA faecal 16S on MiSeq 2x300; adenoma case group in CRC scope	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37512526.md
IN-SCOPE	HIGH	37560524	CRC-screening-cohort	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	Methods-comparison paper on 358 stool 16S samples with CRC vs healthy contrast; MiSeq	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37560524.md
IN-SCOPE	MEDIUM	37597851	CRC-dMMR+pMMR+healthy	stool	shotgun-WGS	Illumina(inferred-from-Kong-ref)	human	cross-sectional-case-control	Fudan+Shandong-Chinese-cohort;n=455;21-dMMR+207-pMMR+227-healthy;methods-by-reference	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37597851.md
IN-SCOPE	HIGH	37614602	CRC+CRA(+PP)	stool	16S+ITS	Illumina-HiSeq	human	cross-sectional-case-control	PP-subset-out-of-scope;ITS-fungal-alongside-16S	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37614602.md
IN-SCOPE	HIGH	37686736	colorectal adenoma (vs non-adenoma HC)	stool	16S	Illumina NovaSeq 6000	human	cross-sectional-case-control	Tianjin Nankai Hospital screening cohort; 97 adenoma vs 54 non-adenoma HC; V3-V4 16S; WCRF/AICR diet stratification	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37686736.md
IN-SCOPE	HIGH	37795995	CRC	stool(microbiome)+PB(TCR)	shotgun-WGS+TCR-Seq+exome	Illumina HiSeq/NovaSeq	human	cross-sectional-case-control	fecal-metagenomics-plus-TCR-plus-exome-multiomic	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37795995.md
IN-SCOPE	HIGH	37894386	late-stage colorectal cancer (III/IV)	stool	16S	Illumina (TruSeq PCR-Free; specific model not named)	human	cross-sectional-case-control	Saudi cohort 25 CRC (stage III/IV) vs 25 healthy; V3-V4 16S TruSeq PCR-Free library; SRA SUB13865299	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37894386.md
IN-SCOPE	HIGH	37980216	healthy / healthy-with-blood / low-grade-lesion / high-grade-lesion CRN	stool (iFOBT-leftover fecal buffer)	16S	Illumina MiSeq	human	cross-sectional-case-control	Québec iFOBT cohort N=813 across 4 groups (healthy, blood-only, low-grade, high-grade); V4 MiSeq	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37980216.md
IN-SCOPE	HIGH	38201530	colorectal-polyps-hyperplastic-adenoma-dysplasia	stool	16S	Illumina NovaSeq 6000	human	cross-sectional-case-control		PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38201530.md
IN-SCOPE	HIGH	38293554	CRC-polyps-healthy	stool	shotgun-WGS	Illumina HiSeq 2500	human	cross-sectional-case-control	30 CRC + 30 polyps + 30 healthy stool WGS on Illumina HiSeq 2500	PASS	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38293554.md
IN-SCOPE	HIGH	38375206	LS-CRC+LS-precancerous+HC	stool	mixed-shotgun-and-16S	not stated (Illumina implied)	human	cross-sectional-case-control	pilot WGS n=34 + validation 16S n=150; Lynch syndrome families	PASS	PASS	PASS	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38375206.md
PARTIAL	HIGH	29120399	CRC+adenoma	stool+tissue-biopsy	mixed-HITChip+454+shotgun-WGS	mixed-Illumina-MiSeq+454	human	cross-sectional-case-control	qualifying-subset=20-stool-Illumina-MiSeq-shotgun(10-adenoma+10-healthy);stool-16S-was-HITChip-microarray;tissue-16S-was-454-pyroseq;validation-cohorts-qPCR-only	PASS	PARTIAL	PASS	PARTIAL	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29120399.md
PARTIAL	HIGH	29145893	adenoma+advanced-adenoma+carcinoma	stool	16S	Illumina-MiSeq	human	longitudinal-pre-post-treatment;CRC-only-stratified-cohort	CRC-only-stratified(no-healthy);SRP096978-new-seq;SRP062005-reused-Baxter2016	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29145893.md
PARTIAL	HIGH	30065719	CRC	stool	16S	Illumina HiSeq 2500	human	cross-sectional-case-control+treated-strata	CRC-vs-healthy-clean-plus-post-treatment-strata	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30065719.md
PARTIAL	MEDIUM	30796721	CRC-only-longitudinal-treatment	stool	16S	not stated	human	longitudinal	no healthy controls; CRC-only baseline+surgery+5 chemo cycles	PASS	PASS	FAIL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30796721.md
PARTIAL	HIGH	31168325	CRC-only-CID-vs-non-CID	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	CRC-only stratified: N=17 stage III CRC on CapeOX, CID vs non-CID; no healthy control	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31168325.md
PARTIAL	MEDIUM	31199857	post-CRC-resection survivors	stool	16S	Illumina MiSeq	human	cross-sectional-case-control (post-CRC-resection vs HC)	Taiwan cohort; sequenced sub-cohort 10 RH + 10 LAR + 20 HC; case group is post-colectomy CRC survivors (~8.5 yr post-op), not naive CRC; PRJEB32249	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31199857.md
PARTIAL	LOW	31275588	colorectal-polyp	mixed-stool+biopsy+rectal-swab	16S	unspecified	human	cross-sectional-case-control	stool-subcohort-scope-rectal-swab-partial-biopsy-out	PASS	PARTIAL	PASS	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31275588.md
PARTIAL	HIGH	31417532	Lynch-syndrome-CRC+gyn-cancer	stool	16S-V4	Illumina-MiSeq	human	cross-sectional-case-control	small-N=18-pilot;qualifying=5-L-CRC-vs-8-healthy;5-L-GC-out-of-scope(EC/OC-gyn-cancer);postoperative-case-group;hereditary-Lynch-syndrome-CRC	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31417532.md
PARTIAL	MEDIUM	33495850	CRC-rectal-only	stool	16S	not stated	human	cross-sectional-case-control-CRC-only-stratified	CRC-only stratified by fatigue at end of CRT	PASS	PASS	FAIL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33495850.md
PARTIAL	HIGH	33809741	CRC	stool	16S	Illumina MiSeq	human	CRC-only stratified + longitudinal	62 CRC patients stratified by post-op complications	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33809741.md
PARTIAL	MEDIUM	34439954	CRC+adenoma	stool (planned)	metagenomics (planned/in-progress)	not-stated	human	cross-sectional-case-control	CORSA biobank cohort profile paper; metagenomics ongoing	PARTIAL	PARTIAL	PASS	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34439954.md
PARTIAL	HIGH	34638284	CRC-stage0-IV	stool-swab+mucosa+tumor	16S	Illumina-MiSeq	human	CRC-only-stratified	stool-swab-subset;CRC-only	PASS	PARTIAL	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34638284.md
PARTIAL	MEDIUM	34804993	CRC	stool	shotgun-WGS	not-stated (likely Illumina)	human	nested-case-control (twin) + re-analysis validation	n=2 twin primary + Zeller/Sobhani CCR1 cohort validation	PARTIAL	PASS	PARTIAL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34804993.md
PARTIAL	MEDIUM	34907602	CRC	stool	16S	not-stated	human	CRC-only stratified (PPOI vs non-PPOI)	60 CRC patients (PPOI vs non-PPOI); mouse mechanism	PASS	PASS	PARTIAL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34907602.md
PARTIAL	HIGH	35003805	rectal cancer	stool	16S	Illumina	human	CRC-only stratified (HAM-D)	40 rectal cancer patients stratified by depressive symptoms	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35003805.md
PARTIAL	HIGH	35004303	CRC+esophageal+gastric	stool	16S	Illumina-MiSeq	human	cross-sectional-case-control	CRC-subset=44/130-vs-147-healthy	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35004303.md
PARTIAL	HIGH	35056490	CRC	stool+mucosa	16S	Illumina MiSeq	human	CRC-only-stratified-by-postop-complications	paired-fecal-mucosal-CRC-only	PASS	PARTIAL	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35056490.md
PARTIAL	LOW	35259052	colorectal cancer (5 CRC vs 5 HD donors)	stool (5 HD + 5 CRC donors) + mouse recipients	16S	Illumina MiSeq (V3-V4)	mixed-human-and-mouse	cross-sectional-case-control (tiny 5 vs 5 donor comparison) + FMT into mice	primary aim = mouse anti-PD-1 avatar model; only 5-vs-5 human donor 16S is human data; underpowered	PASS	PARTIAL	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35259052.md
PARTIAL	MEDIUM	36522829	CRC	stool	shotgun-WGS	Illumina HiSeq 2500	human	cross-sectional-case-control	reuses-Yachida-2019-cohort	PARTIAL	PASS	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36522829.md
PARTIAL	HIGH	36633831	CRC	stool	16S	Illumina MiSeq	human	CRC-only stratified (LN metastasis)	229 CRC stool 16S stratified by lymph-node metastasis	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36633831.md
PARTIAL	HIGH	36656381	rectal-cancer	stool	16S	Illumina-MiSeq-PE300	human	longitudinal+baseline-case-control	small-N=5+5	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36656381.md
PARTIAL	HIGH	37027066	mCRC-capecitabine-time-course	stool	16S	not stated	human	longitudinal-single-arm-chemotherapy	44 mCRC longitudinal capecitabine T1/T2/T3 faecal 16S; no healthy control	PASS	PASS	PARTIAL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37027066.md
PARTIAL	MEDIUM	37058886	CRC+AP	mixed	16S	not stated	human	cross-sectional-case-control-CRC-vs-AP	saliva/tissue/stool multi-district; no HC; stool subset qualifies	PASS	PASS	FAIL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37058886.md
PARTIAL	MEDIUM	37095272	CRC+adenoma+HC	mixed-fecal+mucosal	16S	unspecified	human	cross-sectional-case-control	fecal-subcohort-in-scope-mucosal-out-supplement-only	PASS	PARTIAL	PASS	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37095272.md
PARTIAL	HIGH	37237024	rectal cancer (post-SPS)	stool	16S	Illumina MiSeq PE300	human	CRC-only stratified (rectal cancer post-SPS + LARS symptom subtype)	109 Korean rectal cancer patients post-sphincter-preserving surgery; no HC; V3-V4 MiSeq; PRJNA882613	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37237024.md
PARTIAL	HIGH	37249979	CRC-only-LVI-vs-NLVI	stool	16S	Illumina	human	cross-sectional-CRC-stratified-by-LVI	134 CRC stool 16S stratified LVI vs NLVI; no healthy control	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37249979.md
PARTIAL	MEDIUM	37291572	CRC	stool	16S	not stated	human	cross-sectional-CRC-only-stratified-by-stage	CRC-only stage-stratified; no HC	PASS	PASS	FAIL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37291572.md
PARTIAL	MEDIUM	37313408	CRC+adenoma	stool	16S(discovery-only)	not-stated	human	cross-sectional-case-control	qualifying-subset=discovery-N=20(14-CRC+6-HCs);validation-cohorts-ELISA-only;platform-not-stated	PASS	PASS	PASS	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37313408.md
PARTIAL	HIGH	37474105	CRC-survivors-only	stool	16S-plus-shotgun-WGS	Illumina MiSeq + NovaSeq 6000	human	cross-sectional-diet-microbiome	28 CRC survivors 16S MiSeq + WGS NovaSeq stratified by ACS lifestyle scores; no healthy control	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37474105.md
PARTIAL	MEDIUM	37553874	CRA-adenoma	stool	shotgun-WGS	not stated	mixed-human-and-mouse	intervention-RCT	human RCT on CRA + parallel ApcMin mouse work; NCT02226185	PASS	PASS	FAIL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37553874.md
PARTIAL	HIGH	37558206	CRC	mixed-feces+saliva+subgingival+tumor	16S+RNA-Seq	Illumina MiSeq(+MinION-for-isolates)	human	cross-sectional-case-control	fecal-subcohort-in-scope-others-out	PASS	PARTIAL	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37558206.md
PARTIAL	MEDIUM	37596621	CRC	stool	16S	not stated	human	CRC-only-stratified-by-ileostomy-longitudinal	CRC-only ileostomy vs no; N=20; longitudinal t1/t2	PASS	PASS	FAIL	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37596621.md
PARTIAL	MEDIUM	37635357	colorectal adenoma vs healthy controls	stool (re-analyzed + new qRT-PCR validation)	shotgun-WGS (re-analyzed) + qRT-PCR	not stated (belongs to sources)	human	cross-sectional-case-control (multi-cohort meta-analysis)	Gao et al. multi-cohort adenoma biomarker meta-analysis; 750 samples across 7 cohorts; primarily re-analysis	PARTIAL	PARTIAL	PASS	NOT-STATED	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37635357.md
PARTIAL	HIGH	37760515	CRC	stool	16S	Illumina MiSeq	human	CRC-only stratified (race/ethnicity)	30 CRC patients stratified by race/ethnicity (18 stool samples returned)	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37760515.md
PARTIAL	MEDIUM	37842920	CRC-vs-healthy-plus-Pmicra-mechanism	mixed-stool-and-tumor-mucosa-and-isolates	16S-plus-WGS-plus-methylation	Illumina MiSeq + HiSeq 2000	human	cross-sectional-case-control-plus-mechanism	P. micra mechanism paper with embedded CRC-vs-healthy faecal 16S sub-cohort	PASS	PARTIAL	PASS	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37842920.md
PARTIAL	HIGH	37928040	CRC	stool	16S	Illumina NovaSeq 6000	human	CRC-only stratified (TCM syndrome)	109 CRC patients stratified by 5 TCM syndromes	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37928040.md
PARTIAL	HIGH	38035726	LARC-nCRT-response-TRG	stool	16S	Illumina PE250	human	cross-sectional-LARC-stratified-by-TRG	26 LARC baseline faecal 16S PE250 stratified by TRG; no healthy control	PASS	PASS	PARTIAL	PASS	PASS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38035726.md
