pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
30200383	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-rat-feces	NOT-STATED (fecal 16S implied)	not stated	other-rat	intervention (AOM + dietary fibre)	rat colon-cancer model	rat AOM model with dietary-fibre × EGCG; no human data	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30200383.md
30506375	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	other-mouse-feces	16S (mouse)	Illumina (model not stated)	mouse-only	intervention (HCT-116 xenograft + sitosterol)	xenograft CRC in nude mice	BALB/c nude mouse HCT-116 xenograft + sitosterol treatment; no human subjects	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30506375.md
30717148	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	FAIL	PASS	stool	other-targeted-PCR-6-toxin-gene-panel	N/A (PCR only)	human	cross-sectional-case-control	colorectal cancer + adenoma	US (EDRN) + PR (PURIFICAR) stool cohorts; targeted PCR panel not 16S or WGS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30717148.md
30832616	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	not stated	NOT-STATED	NOT-STATED	NOT-STATED	extracted text file is empty (0 bytes); cannot evaluate any criterion	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30832616.md
30987986	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	stool (planned)	NOT-STATED (protocol; sequencing details absent from reviewed pages)	not stated	human	intervention (RCT: exercise vs usual care)	prostate cancer (not CRC)	study protocol only; RCT in prostate-cancer men on ADT; no data yet	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30987986.md
31096909	OUT-OF-SCOPE	HIGH	FAIL	FAIL	NOT-STATED	NOT-STATED	PASS	stool (re-analyzed) + in-vitro cultures	shotgun-WGS (re-analyzed public metagenomes)	not stated (belongs to source study)	human (via re-analysis) + in-vitro	other-in-vitro-strain-enzymology + re-analysis	colorectal cancer (via re-analyzed cohort)	primary work is in-vitro co-cultures; fecal microbiome part is re-analysis of public HC(n=103) vs CRC(n=53); source cohort not identified	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31096909.md
31199857	PARTIAL	MEDIUM	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control (post-CRC-resection vs HC)	post-CRC-resection survivors	Taiwan cohort; sequenced sub-cohort 10 RH + 10 LAR + 20 HC; case group is post-colectomy CRC survivors (~8.5 yr post-op), not naive CRC; PRJEB32249	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31199857.md
31266879	OUT-OF-SCOPE	HIGH	FAIL	FAIL	PASS (of source)	PASS (of source)	PASS	stool (re-analyzed)	mixed re-analysis (16S MiSeq + shotgun HiSeq)	Illumina MiSeq + HiSeq (source studies)	human	cross-sectional-case-control (source)	colorectal adenoma + carcinoma vs healthy (source)	re-analysis of Baxter 2016 SRP062005 + Sze 2017 SRP096978 + Hannigan 2017 SRP108915; new data are only SCFA HPLC measurements	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31266879.md
31320627	OUT-OF-SCOPE	MEDIUM	NOT-STATED	FAIL	FAIL	NOT-STATED	PASS	other-tumor-tissue (brain metastasis + primary CRC)	other-host-tumor-genomics	not stated	human	other-tumor-vs-metastasis	colorectal cancer (brain metastasis)	extract shows only supp data descriptions; content is CRC-brain-metastasis tumor genomics (COSMIC signatures + DDR mutations); not microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31320627.md
31417532	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED (OTU tables imply 16S)	not stated	NOT-STATED	NOT-STATED	NOT-STATED	extract contains only a supp figure legend (118 OTUs in 18 samples); no methods or cohort description	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31417532.md
33505091	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	FAIL	other-rat-feces	other-Oxford-Nanopore-shotgun-long-read	Oxford Nanopore MinION	other-Wistar-rat	intervention (DMH + Dunaliella salina)	rat colon-cancer model	rat DMH colon-cancer + carotenoid intervention; Oxford Nanopore MinION long-read metagenomics	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33505091.md
33690612	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	other-biliary-juice-via-ERCP	NOT-STATED (sequencing referenced but platform not in extract)	not stated	human	cross-sectional-case-control (CCA vs non-CCA)	extrahepatic cholangiocarcinoma (not CRC)	extract is reviewer-response letter; biliary microbiota in CCA — wrong disease + wrong substrate	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33690612.md
33789570	OUT-OF-SCOPE	HIGH	FAIL	FAIL	PASS (source)	NOT-STATED	PASS	stool (re-analyzed)	shotgun-WGS (re-analyzed)	not stated (belongs to source)	human	cross-sectional-case-control (source)	colorectal cancer (source)	re-analysis of 252 previously-published WGS fecal samples from healthy + late-stage CRC subjects; no new sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33789570.md
34044781	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina HiSeq 2500 (PE250)	human	cross-sectional-case-control	colorectal cancer	Chinese cohort; NC(33) + Fa(38 pre-surgery CRC) + Fb(36 post-surgery); NC vs Fa is canonical case/control; V4 amplicon	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34044781.md
34182940	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	stool	other-targeted-PCR-clb-genes + GC-MS	N/A (no sequencing)	human	cross-sectional (healthy only)	healthy Japanese only (no case group)	224 healthy Japanese adults; targeted PCR for pks+ E. coli + fatty-acid GC-MS; no 16S/WGS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34182940.md
34283063	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool (also saliva)	16S	Illumina MiSeq v2 500-cycle	human	cross-sectional-case-control	colorectal cancer	Japanese Kagoshima cohort; 52 CRC (treatment-naive) vs 51 HC; V1-V2 16S on stool + saliva	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34283063.md
34407780	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	stool (planned FIT-leftover)	shotgun-WGS (planned)	not stated	human	prospective cohort (planned)	CRC screening (planned)	CRCbiome study protocol; nested in Norway BCSN screening; iFOBT-leftover fecal + colonoscopy diagnostic groups; no data yet	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34407780.md
34444865	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	PASS	PASS	stool	16S	Illumina MiSeq v2 250PE	human	cross-sectional-case-control	BREAST CANCER (not CRC)	25 early-BC vs 30 HC French cohort; methodologically clean but wrong disease scope per v2 rule	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34444865.md
34544375	UNCERTAIN	LOW	NOT-STATED	FAIL	NOT-STATED	NOT-STATED	NOT-STATED	other-colonic-contents (cecum + transverse + sigmoid)	NOT-STATED (strain-level IgG-set)	not stated	NOT-STATED (implied human)	NOT-STATED	NOT-STATED	extract shows only Supp Fig S5 comparing colonic-region IgG-bound bacterial strains; colonic contents ≠ stool per v2 rule	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34544375.md
34599256	OUT-OF-SCOPE	MEDIUM	PASS	NOT-STATED	FAIL	NOT-STATED	PASS	stool (FIT tube + stabilization buffer + fresh-frozen storage arms)	NOT-STATED	not stated	human	other-technical-sample-handling-comparison	no case group (sample-handling methods paper)	extract shows only Supp Fig S1 legend; storage protocol comparison paper for FIT-tube fecal samples; not CRC case/control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34599256.md
34646786	SKIPPED	HIGH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	corrigendum for 10.3389/fcimb.2021.599734 (Ma et al.) — evaluate parent paper separately	N/A
34778085	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PARTIAL	PASS	other-colonic-biopsy-tissue (cases) + stool (only 3 HC)	mixed 16S (Illumina MiSeq + Ion Torrent S5)	Illumina MiSeq V3 (inactive tissue) + Ion Torrent S5 (active tissue)	human	cross-sectional (irAE colitis vs UC vs HC)	irAE colitis + ulcerative colitis (not CRC)	Kindai University Japan; disease is irAE/UC; substrate for cases is biopsy tissue; mixed Illumina+IonTorrent	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34778085.md
34844611	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	tumor-and-adjacent-normal-tissue (paired)	16S	Illumina MiSeq v3 2x300	human	paired-tumor-vs-normal + recurrent-vs-nonrecurrent (CRC-only)	colorectal cancer (tissue, not stool)	Korean 51 CRC patients; 102 paired tumor + adjacent-normal V3-V4 16S; no stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34844611.md
34944982	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	NOT-STATED	PASS	blood (peripheral)	16S	not stated	human	cross-sectional-case-control	colorectal cancer + intestinal adenoma	Milan case-control 100 CRC + 100 IA + 100 HC; blood 16S bacterial translocation study; not stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34944982.md
34983654	UNCERTAIN	LOW	NOT-STATED	NOT-STATED (likely other-colonic-content)	NOT-STATED	NOT-STATED	NOT-STATED	other-colonic-region (ascending/transverse/descending/sigmoid)	NOT-STATED	not stated	NOT-STATED (implied human)	NOT-STATED	NOT-STATED	extract shows only PCoA figure with 4-region legend; likely colonic contents which fail per v2 rule	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34983654.md
35039534	OUT-OF-SCOPE	HIGH	FAIL	FAIL	PASS (of source)	NOT-STATED	PASS	stool (re-analyzed)	shotgun-WGS (re-analyzed)	not stated (belongs to sources)	human	cross-sectional-case-control (source)	IBD + T2D + LC + CRC (mixed sources)	deep-learning classifier benchmarked on 4 public datasets incl. CRC PRJEB27928; no new sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35039534.md
35183223	OUT-OF-SCOPE	HIGH	PARTIAL	FAIL	FAIL	NOT-STATED	PASS	mixed (human tissue for microarray; re-analyzed public feces; mouse xenograft feces)	mixed (tissue microarray + re-analyzed WGS + mouse fecal seq)	not stated	mixed-human-and-mouse	mixed (tumor-vs-adjacent tissue + re-analyzed CRC-vs-HC + xenograft)	colorectal cancer	own 83-patient tumor+normal tissue microarray/IHC; re-analyzed 20 samples of PRJNA397219 for CRC-vs-HC microbiome; xenograft mice for fecal 16S	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35183223.md
35259052	PARTIAL	LOW	PASS	PARTIAL	PARTIAL	PASS	PASS	stool (5 HD + 5 CRC donors) + mouse recipients	16S	Illumina MiSeq (V3-V4)	mixed-human-and-mouse	cross-sectional-case-control (tiny 5 vs 5 donor comparison) + FMT into mice	colorectal cancer (5 CRC vs 5 HD donors)	primary aim = mouse anti-PD-1 avatar model; only 5-vs-5 human donor 16S is human data; underpowered	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35259052.md
35877697	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PARTIAL	other-ex-vivo-colon-fermentation-model (fecal-slurry inoculum from 17 healthy donors)	16S + qPCR (on fermentation wells, not on humans)	not stated	human donors as starting material only	in-vitro / ex-vivo (S. salivarius vs F. nucleatum experiments)	no CRC case group	ex-vivo colon fermentation + bacteriocin isolation; no CRC clinical cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35877697.md
36512197	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	blood cfDNA (plasma)	other-GM-seq (host methylation + genetics); not microbiome	MGI T7 (not Illumina)	human	methods validation across mixed cancer types	3 CRC + 7 lung + 8 liver (mixed cancer methods paper)	blood cfDNA methylation + genetics methods paper; not microbiome; MGI T7 platform	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36512197.md
36778661	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PARTIAL	other-colon-cancer-organoid	other-single-cell-WGS + viral-lineage-tracing	not stated	human-derived-organoid (donor)	in-vitro organoid evolution	colon carcinoma organoid (not clinical CRC)	organoid single-cell WGS + lineage tracing; no microbiome, no clinical stool cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36778661.md
36959686	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina HiSeq 2000	human	cross-sectional-case-control	colorectal cancer (with/without T2DM)	Beijing 3-arm cohort: 12 CRC+T2DM + 12 CRC + 12 HC; treatment-naive; SCFA + BA metabolomics also	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36959686.md
36999930	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	other-mouse-feces	16S	Illumina MiSeq	mouse-only	intervention (streptozotocin DM + CT26 xenograft)	CT26 xenograft CRC in DM mice	streptozotocin BALB/c + CT26 CRC xenograft; mouse fecal V3-V4 16S; no human data	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36999930.md
37082183	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina NovaSeq PE150	human	cross-sectional-case-control	colorectal adenoma (tubular)	Guangzhou high-risk screening cohort; 31 adenomas (all tubular) vs 71 colonoscopy-negative controls	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37082183.md
37170273	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	PASS	PASS	stool	shotgun-WGS	Illumina MiSeq PE300	human	prospective matched-cohort intervention (chemo vs endocrine vs both)	early-stage BREAST CANCER (not CRC)	40 BC patients; longitudinal stool shotgun metagenomics; wrong disease scope + interventional design	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37170273.md
37237024	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina MiSeq PE300	human	CRC-only stratified (rectal cancer post-SPS + LARS symptom subtype)	rectal cancer (post-SPS)	109 Korean rectal cancer patients post-sphincter-preserving surgery; no HC; V3-V4 MiSeq; PRJNA882613	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37237024.md
37310549	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	Lynch syndrome (LS-CRC / LS-adenoma / LS-without-CRN) vs non-LS controls	Michigan cohort; 46 LS + 53 non-LS controls; V4 16S; LS strata by prior CRN status	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37310549.md
37343363	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	PASS	PASS	stool (5 obese + 5 normal-BMI human donors) + mouse recipients	shotgun-WGS	Illumina HiSeq 2000	mixed-human-and-mouse	FMT into 3 mouse models + tiny obese-vs-normal-BMI donor comparison	obesity vs normal-BMI (not CRC)	Hong Kong colonoscopy-screening donors pooled 5+5; case group is obesity not CRC; primary work is mice	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37343363.md
37404032	OUT-OF-SCOPE	MEDIUM	FAIL	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED (implied re-analyzed stool metagenomes)	NOT-STATED	not stated	NOT-STATED (implied human via re-analysis)	multi-disease ML benchmark (OB/T2D/IBD/CRC)	multi-disease methods benchmark	extract is 4060 lines of supp figures showing ML classification benchmarks across OB/T2D/IBD/CRC; re-analysis of public data	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37404032.md
37507809	OUT-OF-SCOPE	MEDIUM	FAIL	FAIL	PASS (of sources)	NOT-STATED	PASS	stool (re-analyzed)	shotgun-WGS (re-analyzed)	not stated (belongs to sources)	human	cross-sectional-case-control (meta-analysis across cohorts)	multi-disease meta-analysis incl. CRC (Thomas 2018a + Gupta 2019 + Feng 2015)	meta-analytical re-analysis of 9 public microbiome cohorts (3 CRC + T2D + diarrhea + IBS + CF + ME/CFS)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37507809.md
37555867	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	PASS	PASS	stool	16S	Illumina MiSeq	human	prospective observational (OAB regimen intervention)	elective major colorectal surgery (mixed CRC + benign; SSI outcome)	Wales cohort N=160; peri-operative OAB effect on microbiome + SSI; no HC arm and disease scope is surgical SSI not CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37555867.md
37597851	UNCERTAIN	LOW	NOT-STATED (implied PASS)	NOT-STATED	NOT-STATED (implied cross-sectional-case-control)	NOT-STATED	PASS	NOT-STATED	NOT-STATED	not stated	human	NOT-STATED	dMMR-CRC (n=21) + pMMR-CRC (n=207) vs healthy controls (n=227) implied	extract shows only Supp Table S1; no methods; cohort demographics imply case/control CRC-vs-HC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37597851.md
37635357	PARTIAL	MEDIUM	PARTIAL	PARTIAL	PASS	NOT-STATED	PASS	stool (re-analyzed + new qRT-PCR validation)	shotgun-WGS (re-analyzed) + qRT-PCR	not stated (belongs to sources)	human	cross-sectional-case-control (multi-cohort meta-analysis)	colorectal adenoma vs healthy controls	Gao et al. multi-cohort adenoma biomarker meta-analysis; 750 samples across 7 cohorts; primarily re-analysis	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37635357.md
37686736	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina NovaSeq 6000	human	cross-sectional-case-control	colorectal adenoma (vs non-adenoma HC)	Tianjin Nankai Hospital screening cohort; 97 adenoma vs 54 non-adenoma HC; V3-V4 16S; WCRF/AICR diet stratification	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37686736.md
37795928	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	PARTIAL	PASS	mixed (FFPE tumor tissue for 13 patients; N=1 fecal metagenome for NTHL1 patient)	mixed (Ion S5 tumor targeted NGS + NovaSeq WGS + NovaSeq fecal metagenomics)	Illumina NovaSeq 6000 (fecal + WGS) + Ion GeneStudio S5 (targeted panel)	human	other-hereditary-CRC-case-series (1 NTHL1 + 12 MUTYH)	NTHL1 tumor syndrome + MUTYH-associated polyposis	single-patient N=1 fecal metagenome; no healthy controls; primarily tumor mutational signatures on Ion Torrent	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37795928.md
37819383	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	PASS	PASS	rectal-swab	16S	Illumina MiSeq v3	human	longitudinal secondary analysis (T0/T1/T2)	cervical + endometrial cancer (not CRC)	19 gynecologic cancer patients longitudinal rectal-swab 16S; wrong disease scope + rectal swab per v2	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37819383.md
37894386	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina (TruSeq PCR-Free; specific model not named)	human	cross-sectional-case-control	late-stage colorectal cancer (III/IV)	Saudi cohort 25 CRC (stage III/IV) vs 25 healthy; V3-V4 16S TruSeq PCR-Free library; SRA SUB13865299	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37894386.md
37980216	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool (iFOBT-leftover fecal buffer)	16S	Illumina MiSeq	human	cross-sectional-case-control	healthy / healthy-with-blood / low-grade-lesion / high-grade-lesion CRN	Québec iFOBT cohort N=813 across 4 groups (healthy, blood-only, low-grade, high-grade); V4 MiSeq	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37980216.md
38029508	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	other-host-tumor-transcriptomics (TCGA + GEO)	other-transcriptomics (bulk RNA + scRNA-seq re-analysis)	not stated	human (via re-analysis)	bioinformatics meta-analysis (host tumor phenotype)	colorectal cancer (CMS classification meta-analysis)	TCGA + 101 GEO CRC transcriptomic datasets meta-analysis; host tumor CMS/EMT/metabolism; not microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38029508.md
38075864	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	tumor-and-adjacent-normal-tissue (paired)	other-TaqMan-qPCR-for-F.nucleatum + mRNA-qPCR	N/A (qPCR only)	human	paired tumor-vs-normal intra-patient	colorectal adenocarcinoma	Iran National Tumor Bank 100 paired CRC tumor/normal; F. nucleatum qPCR + cytokines/miRNA qPCR	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38075864.md
38179421	OUT-OF-SCOPE	HIGH	PASS	NOT-STATED (16S implied)	FAIL	NOT-STATED	PASS	stool	16S (implied)	not stated	human	prospective longitudinal ICU (Day 0-7) vs healthy blood donors	septic shock (CRC explicitly excluded)	60 ICU septic shock + 100 healthy blood-donor 16S; CRC an explicit exclusion criterion; NCT03861325	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38179421.md
38384432	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	saliva (24 samples) + intestinal mucosal tissue (no sequencing)	16S (saliva only)	not stated	human	CRC-only stratified (RT+ vs RT-)	rectal cancer (RT effect on saliva microbiota)	Qingdao rectal cancer 24 saliva 16S (11 RT+ vs 13 RT-); intestinal tissue for immunology only; no HC arm; no stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38384432.md
