pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
31370880	OUT-OF-SCOPE	HIGH	FAIL	PASS	PARTIAL	PASS	PASS	stool	shotgun-WGS	Illumina(inherited)	human	methods-paper-on-published-cohorts	CRC+IBD(re-analysis)	re-analysis-only-of-7-cohorts;CRC-sources=Zeller-PRJEB6070+Feng-PRJEB7774+Yu-PRJEB10878+Vogtmann-PRJEB12449	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31370880.md
31417532	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S-V4	Illumina-MiSeq	human	cross-sectional-case-control	Lynch-syndrome-CRC+gyn-cancer	small-N=18-pilot;qualifying=5-L-CRC-vs-8-healthy;5-L-GC-out-of-scope(EC/OC-gyn-cancer);postoperative-case-group;hereditary-Lynch-syndrome-CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31417532.md
33607296	OUT-OF-SCOPE	HIGH	FAIL	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina(inherited)	human	methods-paper-on-published-cohort	CRC(re-analysis)	re-analysis-only-of-Baxter-2016;also-uses-Tara-Oceans+AmericanGut	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33607296.md
33727392	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	NOT-STATED	PASS	stool	shotgun-WGS	not-stated	human	single-arm-dietary-intervention	healthy-young-adults(no-disease)	non-CRC-disease-scope+intervention-design	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33727392.md
33947803	OUT-OF-SCOPE	HIGH	FAIL	PASS	PARTIAL	PASS	PASS	stool	shotgun-WGS	Illumina(inherited)	human	meta-analysis-of-published-cohorts	CRC+UC+CD(re-analysis)	re-analysis-only-of-13-datasets-from-NCBI/ENA;7-CRC+3-CD+3-UC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33947803.md
33996615	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S-V3V4	Illumina-MiSeq-2x300	human	cross-sectional-case-control	CRC	Chinese-cohort-Harbin;34-CRC-vs-52-healthy(26-old+26-young)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33996615.md
34544375	OUT-OF-SCOPE	HIGH	FAIL	PASS	FAIL	PASS	PASS	stool	shotgun-WGS	Illumina(inherited)	human	FMT-intervention-melanoma-response	melanoma+FMT(not-CRC)	re-analysis-of-Baruch+Davar-FMT-melanoma;not-CRC-scope	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34544375.md
34799562	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S+shotgun-WGS(subset)	Illumina-MiSeq-PE300	human	cross-sectional-case-control	sporadic-CRC-young-onset-vs-old-onset	Fudan+Huadong-2-cohorts;n=1038;4-groups-yCRC+oCRC+yControl+oControl	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34799562.md
34937766	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	NOT-STATED	FAIL	mouse-feces+cell-line+organoid	16S+LC-MS/MS	not-stated	mouse+human-cell-lines+organoids	interventional-mouse-gavage+in-vitro	mouse-CRC-model+human-CRC-cells/organoids	no-human-cohort-here;mouse-in-vivo+cell-organoid-in-vitro	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34937766.md
34983654	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	rectal-swab+intraop-colonic-contents+stoma(NO-stool)	16S	Illumina-MiSeq-2x300	human	longitudinal-pre-post-surgery+drug-arm	CRC-surgery-cohort	no-passed-stool;longitudinal+drug-arm;no-healthy-control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34983654.md
35003221	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	PARTIAL	PASS	tissue-mucosa	16S	mixed-454+Illumina-MiSeq	human	paired-tumor-normal-in-source-cohorts	CRC(re-analysis-of-6-mucosa-cohorts)	re-analysis-only;all-tissue-mucosa-not-stool;Kostic-454-Hale-Gao-Zeller-Burns-Purcell-Illumina	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35003221.md
36967379	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	FAIL	PASS	stool	16S-V3V4	IonS5-XL-Thermo	human	longitudinal-treatment-response;CRC-only	LARC-locally-advanced-rectal-cancer	Ion-Torrent-not-Illumina;no-healthy-control;longitudinal-nCCRT-response	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36967379.md
37202560	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	tumor-tissue+matched-normal-colon-tissue	16S+WGS	Illumina(implied)	human	paired-tumor-normal	CRC-atlas-AC-ICAM	tissue-not-stool;stool-only-used-as-positive-control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37202560.md
37313408	PARTIAL	MEDIUM	PASS	PASS	PASS	NOT-STATED	PASS	stool	16S(discovery-only)	not-stated	human	cross-sectional-case-control	CRC+adenoma	qualifying-subset=discovery-N=20(14-CRC+6-HCs);validation-cohorts-ELISA-only;platform-not-stated	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37313408.md
37458451	OUT-OF-SCOPE	HIGH	PARTIAL	FAIL	FAIL	NOT-STATED	FAIL	feces+tissue-rat	metabolomics+transcriptomics	not-stated	rat	cross-sectional-Pirc-vs-WT	Pirc-rat-adenoma-model	rat-model-not-human;samples-from-Ericsson-et-al	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37458451.md
37597851	IN-SCOPE	MEDIUM	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina(inferred-from-Kong-ref)	human	cross-sectional-case-control	CRC-dMMR+pMMR+healthy	Fudan+Shandong-Chinese-cohort;n=455;21-dMMR+207-pMMR+227-healthy;methods-by-reference	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37597851.md
38030613	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	colonic-tissue-crypts+tumor	host-WGS-not-microbiome	Illumina-NovaSeq	human	paired-tumor-normal-crypts	CRC-mutational-signatures-pks-E-coli	host-genome-WGS-not-microbiome-sequencing;tissue-crypts-not-stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38030613.md
38357363	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	tumor-tissue+TCGA-RNA-seq	16S-V3V4-on-tissue+RNA-seq-inference	not-stated	human	CRC-only-racial-disparity	mCRC-metastatic	tissue-not-stool;mCRC-only-no-healthy-control;TCGA-arm-re-analysis	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38357363.md
