pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
30899534	OUT-OF-SCOPE	HIGH	FAIL	PASS	PASS	NOT-STATED	PASS	stool	mixed-16S-and-WGS	not stated	human	cross-sectional-meta-analysis	CRC-vs-control-meta	Meta-analysis of 5 public CRC-microbiome datasets; re-analysis-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30899534.md
31036005	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	other-FFPE-tumor-tissue	other-cancer-panel-NGS	Ion Torrent 314	human	other-mCRC-only-single-arm	metastatic-CRC-only	219 mCRC FFPE tumor NGS cancer-gene panel on Ion Torrent; no microbiome, no healthy control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31036005.md
31168325	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	CRC-only-CID-vs-non-CID	CRC-only stratified: N=17 stage III CRC on CapeOX, CID vs non-CID; no healthy control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31168325.md
31214144	OUT-OF-SCOPE	HIGH	FAIL	PASS	FAIL	NOT-STATED	PASS	stool	shotgun-WGS	not stated	human	other-multi-cohort-reanalysis	IBD-and-CRC	Metabolic-network re-analysis of 2 IBD + 1 CRC public metagenomic datasets; no new sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31214144.md
31278253	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	other-tumor-tissue	mixed-16S-and-shotgun-WGS	not stated	human	cross-sectional-CMS-stratification	CRC-only-CMS-subtypes	34 CRC tumor-tissue samples; CMS stratification; no stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31278253.md
31354787	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	PASS	PASS	stool	other-targeted-virulence-gene-amplicon	Illumina	human	cross-sectional-case-control	CRC-adenoma-healthy	Targeted deep amplicon oligotyping of pks/tcpC/usp E. coli genes from EDRN stool samples; not 16S or WGS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31354787.md
31555583	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	FAIL	PASS	other-tumor-tissue-and-adjacent-normal	16S	Ion Torrent PGM	human	cross-sectional-tumor-vs-adjacent	CRC-only-tumor-vs-adjacent-normal	152 CRC tumor + 57 paired normal-adjacent tissue on Ion PGM 16S V4; no stool, no healthy control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31555583.md
33731196	OUT-OF-SCOPE	HIGH	PASS	PASS	PASS	FAIL	PASS	stool	16S	Ion S5 XL	human	cross-sectional-case-control	CRC-vs-healthy	11 CRC + 11 healthy stool 16S on Ion S5 XL; not Illumina	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33731196.md
33809624	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	other-tumor-and-adjacent-biopsies	16S	not stated	human	intervention	CRC-only-iron-therapy	Oral vs IV iron intervention in anemic CRC; on-tumor + off-tumor biopsies; not stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33809624.md
33895946	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	other-tumor-tissue	other-cancer-panel-NGS-plus-meta	Ion AmpliSeq	human	other-primary-vs-metastasis-plus-meta	metastatic-CRC-only	43 CRC tumors on Ion AmpliSeq cancer panel + meta-analysis; no microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33895946.md
34065545	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	other-on-and-off-tumor-biopsies	16S	not stated	human	cross-sectional-left-vs-right	CRC-only-tumor-sidedness	24 CRC patients (17 right + 7 left); on-tumor + off-tumor biopsies; not stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34065545.md
34199466	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-mouse-cecum-and-feces	16S	not stated	mouse-only	intervention	colitis-mouse-model	Saffron intervention in DSS mouse colitis; not CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34199466.md
34307189	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina HiSeq	human	cross-sectional-case-control	CRC-adenoma-healthy	71 CRC + 63 adenoma + 91 healthy stool WGS on Illumina HiSeq	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34307189.md
34422640	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	other-tumor-tissue-TCGA	other-tissue-derived-microbial-signal	not stated	human	other-multi-cancer-reanalysis	multi-GI-cancer	TCMA/TCGA re-analysis across 4 GI cancer types; no primary sampling	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34422640.md
34449929	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	other-small-bowel-tumor-tissue	16S-plus-cancer-panel	Illumina	human	cross-sectional-tumor-vs-adjacent	small-bowel-adenocarcinoma	SBA (not CRC) tumor + matched-normal tissue; disease scope fails	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34449929.md
34584098	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina	human	cross-sectional-case-control	CRC-vs-healthy-early-and-advanced	Discovery 384 HI + 380 CRC + validation 129 HI + 289 CRC faecal 16S on Illumina; early vs advanced CRC strata	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34584098.md
34604105	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	NOT-STATED	PASS	stool	16S	not stated	human	cross-sectional-case-control	Gilbert-syndrome-vs-healthy	45 GS + 45 controls; GS not CRC; disease scope fails	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34604105.md
34711244	OUT-OF-SCOPE	HIGH	NOT-STATED	FAIL	FAIL	NOT-STATED	PASS	other-germline-blood-DNA	other-germline-WGS-WES	not stated	human	other-cancer-syndrome-workflow	hereditary-cancer-syndromes	Germline WGS/WES cancer-syndrome variant filter pipeline; no microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34711244.md
34799562	UNCERTAIN	LOW	PASS	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	not stated	mixed-16S-and-metagenomic	not stated	not stated	not stated	not stated	Only supplementary data descriptions extracted; Fudan + Huadong cohorts; scope unverified	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34799562.md
34867852	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-bacterial-isolates-from-healthy-feces	other-isolate-16S-and-CFS-assay	not stated	mixed-human-isolate-source-and-mouse-allograft	other-mechanism	Odoribacter-anti-CRC-mechanism	O. splanchnicus isolate CFS anti-CRC assay in HCT116/CT26 + CT26 mouse allograft	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34867852.md
34955830	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	other-plasma-and-tissue	other-real-time-PCR-MSI	not applicable	human	other-MSI-diagnostic-concordance	CRC-MSI-diagnostic	Plasma real-time PCR MSI test on 84 CRC (dMMR vs pMMR); not microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34955830.md
35003221	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	not stated	not stated	not stated	not stated	not stated	not stated	Only fragmentary network-figure text extracted; insufficient to review	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35003221.md
35056510	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-Listeria-isolates-and-Caco-2	other-isolate-WGS	not stated	other-Listeria-plus-Caco-2	other-pathogen-genomic	Listeria-isolate-WGS	Listeria monocytogenes isolate WGS + Caco-2 in vitro; not CRC cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35056510.md
35188868	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq	human	longitudinal-case-control	adenoma-vs-matched-control	Dutch 19 adenoma (advanced + non-advanced) vs 19 matched controls; longitudinal but with cross-sectional baseline analysis; MiSeq 2x250	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35188868.md
35281451	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina	human	cross-sectional-case-control	CRC-adenoma-healthy-mycobiota	Same Shanghai Tenth cohort as PMID 34307189 with mycobiota focus; likely sample overlap	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35281451.md
36050867	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PARTIAL	other-mucosal-biopsy-and-fecal-BA	16S	not stated	mixed-human-and-mouse	cross-sectional-case-control-plus-mouse	post-cholecystectomy-vs-healthy	14 PC + 14 healthy mucosal-biopsy 16S + mouse cholecystectomy/DSS model; not CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36050867.md
36583742	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	other-not-stool-qRT-PCR	other-targeted-16S-qRT-PCR	not applicable	human-plus-HepG2	cross-sectional-case-control	HCC-vs-healthy	HCC (not CRC) targeted qRT-PCR of butyrate producers; not community sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36583742.md
36847529	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S-plus-metatranscriptome	Illumina NovaSeq 6000 + NextSeq	human	cross-sectional-case-control	CRC-vs-non-CRC	Small pilot n=10 CRC + n=10 control 16S + metatranscriptome; NovaSeq/NextSeq	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36847529.md
36967379	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	not stated	not stated	not stated	not stated	not stated	not stated	Text file contains only "Figure S5"; cannot review	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36967379.md
37027066	PARTIAL	HIGH	PASS	PASS	PARTIAL	NOT-STATED	PASS	stool	16S	not stated	human	longitudinal-single-arm-chemotherapy	mCRC-capecitabine-time-course	44 mCRC longitudinal capecitabine T1/T2/T3 faecal 16S; no healthy control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37027066.md
37113593	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	FAIL	other-Caco-2-cell-line	other-shotgun-proteomics	not applicable	other-Caco-2-cell-line	other-in-vitro	Caco-2-HAD-cytotoxicity	Plant-extract HAD cytotoxicity + Caco-2 proteomics; not microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37113593.md
37180722	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	FAIL	FAIL	not applicable	not applicable	not applicable	not applicable	other-computational-methods	drug-discovery-methods	CANDO computational drug repurposing platform; not microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37180722.md
37249979	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina	human	cross-sectional-CRC-stratified-by-LVI	CRC-only-LVI-vs-NLVI	134 CRC stool 16S stratified LVI vs NLVI; no healthy control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37249979.md
37317121	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	NOT-STATED	PASS	other-mucosal-biopsy	16S	not stated	human	cross-sectional-case-control-biopsy	synchronous-CRC-adenoma-healthy	Biopsy 16S synchronous CRC/adenoma + adenoma-only + healthy; not stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37317121.md
37362927	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	other-tumor-tissue-and-adjacent	16S	not stated	human	cross-sectional-CRC-stratified-by-metastasis	CRC-only-metastatic-vs-non	48 mCRC + 44 non-metastatic CRC tissue 16S; not stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37362927.md
37474105	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S-plus-shotgun-WGS	Illumina MiSeq + NovaSeq 6000	human	cross-sectional-diet-microbiome	CRC-survivors-only	28 CRC survivors 16S MiSeq + WGS NovaSeq stratified by ACS lifestyle scores; no healthy control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37474105.md
37512526	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq 2x300	human	cross-sectional-case-control	high-risk-adenoma-vs-no-adenoma	117 Cypriot NA vs HRA faecal 16S on MiSeq 2x300; adenoma case group in CRC scope	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37512526.md
37560524	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	CRC-screening-cohort	Methods-comparison paper on 358 stool 16S samples with CRC vs healthy contrast; MiSeq	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37560524.md
37603579	OUT-OF-SCOPE	HIGH	FAIL	PASS	FAIL	NOT-STATED	PASS	stool	shotgun-WGS	not stated	human	other-multi-cohort-reanalysis-methods	T2D-cirrhosis-IBD-CRC	DL methods paper on 4 public benchmark disease datasets; no new sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37603579.md
37644393	OUT-OF-SCOPE	HIGH	PASS	PASS	PASS	FAIL	PASS	stool	shotgun-WGS	BGI DNBSEQ-T7	human	cross-sectional-case-control-micro	CRC-vs-healthy-Egyptian-pilot	4 CRC + 1 healthy Egyptian females on BGI DNBSEQ-T7; not Illumina	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37644393.md
37754261	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	other-FFPE-tumor-and-adjacent-normal-mucosa	shotgun-metagenomics	Illumina MiSeq	human	cross-sectional-tumor-vs-adjacent	Tunisia-CRC-archaeome	68 FFPE tumor + adjacent mucosa from 35 Tunisian CRC on MiSeq; not stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37754261.md
37796924	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	PARTIAL	FAIL	PASS	mixed-stool-and-tumor-tissue	16S	Ion Torrent	human	cross-sectional-CRC-only-stratified-by-BMI	CRC-only-BMI-tumor-vs-non	45 CRC 113 samples feces + tumor + non-tumor tissue on Ion Torrent; not Illumina	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37796924.md
37842920	PARTIAL	MEDIUM	PASS	PARTIAL	PASS	PASS	PASS	mixed-stool-and-tumor-mucosa-and-isolates	16S-plus-WGS-plus-methylation	Illumina MiSeq + HiSeq 2000	human	cross-sectional-case-control-plus-mechanism	CRC-vs-healthy-plus-Pmicra-mechanism	P. micra mechanism paper with embedded CRC-vs-healthy faecal 16S sub-cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37842920.md
37901832	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	other-tumor-tissue-RNA-seq-microbial-signal	other-RNA-seq-microbe-extraction	not stated	human	other-nCRT-response-stratification	LARC-nCRT-response	Re-analysis of published European LARC RNA-seq for intratumoral microbes	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37901832.md
38006331	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	other-tumor-and-adjacent-normal-tissues	16S	not stated	human	cross-sectional-CRC-stratified-by-obstruction	CRC-only-obstruction-vs-non	313 CRC tumor + adjacent-normal tissue 16S; obstruction vs non; not stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38006331.md
38035726	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina PE250	human	cross-sectional-LARC-stratified-by-TRG	LARC-nCRT-response-TRG	26 LARC baseline faecal 16S PE250 stratified by TRG; no healthy control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38035726.md
38099061	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	FAIL	FAIL	not applicable	not applicable	not applicable	not applicable	other-computational-vaccine-design	P-anaerobius-vaccine	In silico multi-epitope vaccine design; no cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38099061.md
38293554	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina HiSeq 2500	human	cross-sectional-case-control	CRC-polyps-healthy	30 CRC + 30 polyps + 30 healthy stool WGS on Illumina HiSeq 2500	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38293554.md
30725462	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-methods-review	book-chapter-methods-review	MMB book chapter / methods review; no primary cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30725462.md
33405122	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-plant-extract-and-cell-line	other-GC-MS-and-enzyme-assay	N/A	other-cell-line	other-in-vitro	Origanum-Salvia-anti-inflam-and-HCT116	Origanum/Salvia in-vitro anti-inflam + HCT-116/Lovo cytotoxicity; no microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33405122.md
33581124	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	biopsy	16S	Illumina (model not stated; V4 amplicon)	human	other-intra-neoplasia-heterogeneity	CRC-adenoma-tissue	436 CRC/adenoma tissue biopsies; no stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33581124.md
